"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"TRINITY_DN1117_c0_g1"	234.50689209703	-0.132618752747618	0.245253058244984	-0.540742503667966	0.588685077858202	0.67770955160108
"TRINITY_DN1119_c0_g1"	22.0863010034516	1.97935920415338	0.440129141135775	4.49722369903875	6.8846542030183e-06	2.48523681913866e-05
"TRINITY_DN1120_c0_g1"	1081.09088586555	0.637535642853072	0.139840031784894	4.55903531138885	5.13891310602209e-06	1.89017493554836e-05
"TRINITY_DN1123_c0_g1"	182.274540835978	-0.0270168200629103	0.134054920237206	-0.201535460355389	0.840279904854413	0.884688359656991
"TRINITY_DN1125_c0_g1"	178.294525879221	-0.5080722652289	0.182849542003374	-2.77863570049043	0.0054587707272632	0.0122350224665092
"TRINITY_DN1127_c0_g1"	5.00408915401631	-0.838473052823841	2.49205785603094	-0.336458100599343	0.736525442537048	0.805852455229594
"TRINITY_DN1128_c0_g1"	183.104822555322	0.00520833430445531	0.128990750354543	0.0403775797112562	0.967792104468246	0.977082224676633
"TRINITY_DN1129_c0_g1"	129.125758134278	0.513596240155342	0.251957536928204	2.03842380115699	0.0415075680149511	0.0736588386890667
"TRINITY_DN1130_c0_g1"	13.7847463150928	-0.290641062012241	1.16726249350567	-0.248993747018592	0.803365618281433	0.858606869047347
"TRINITY_DN1132_c0_g1"	18.3494727573702	-0.179188662874205	0.475614132863167	-0.376752183110078	0.706357778916001	0.779824721928574
"TRINITY_DN1133_c0_g1"	172.921306867499	0.27910070152691	0.129495157423362	2.15529836852847	0.0311384933917743	0.0575092188257518
"TRINITY_DN1135_c0_g1"	142.178155029963	1.76387889609674	0.174619163837034	10.1012904731517	5.45199658110473e-24	6.10893128758182e-23
"TRINITY_DN1136_c0_g1"	7.94710418575062	-0.399354682945998	0.901169191766123	-0.4431517262184	0.657655993136021	0.738344567673089
"TRINITY_DN1137_c0_g1"	268.771570974944	-0.121673663177199	0.151416198083618	-0.803570983270927	0.421644786664258	0.517183723410577
"TRINITY_DN1138_c0_g1"	144.057004559207	-0.686175316563937	0.156611457709682	-4.38138643620782	1.1792650423993e-05	4.13217509220752e-05
"TRINITY_DN1141_c0_g1"	6.41957025868144	-2.5692260749348	1.44841907565713	-1.77381402807691	0.0760939169608567	0.123993083201156
"TRINITY_DN1142_c0_g1"	4.77049037799061	6.23221005740667	1.99538891405869	3.1233059447695	0.00178831748946334	0.00441800506025457
"TRINITY_DN1144_c0_g1"	66.5377151461024	0.275846675194049	0.200814399342814	1.37363991873484	0.169553497648931	0.242000884909998
"TRINITY_DN1146_c0_g1"	12.4566530183789	0.316812664487324	0.684510291869231	0.462831119196449	0.643485423485295	0.726106762862478
"TRINITY_DN1147_c0_g1"	56.0781713912227	1.72953390256889	0.260152042916681	6.64816575406562	2.96767999007901e-11	1.77506092864539e-10
